array name	Sample name	Batch
HSB175.DFC	HSB175.DFC	1
HSB175.HIP	HSB175.HIP	1
HSB175.IPC	HSB175.IPC	1
HSB175.ITC	HSB175.ITC	1
HSB175.M1C	HSB175.M1C	1
HSB175.MFC	HSB175.MFC	1
HSB175.OFC	HSB175.OFC	1
HSB175.S1C	HSB175.S1C	1
HSB175.STC	HSB175.STC	1
HSB175.V1C	HSB175.V1C	1
HSB175.VFC	HSB175.VFC	1
HSB178.A1C	HSB178.A1C	1
HSB178.AMY	HSB178.AMY	1
HSB178.CBC	HSB178.CBC	1
HSB178.DFC	HSB178.DFC	1
HSB178.HIP	HSB178.HIP	1
HSB178.IPC	HSB178.IPC	1
HSB178.ITC	HSB178.ITC	1
HSB178.M1C	HSB178.M1C	1
HSB178.MD	HSB178.MD	1
HSB178.MFC	HSB178.MFC	1
HSB178.OFC	HSB178.OFC	1
HSB178.S1C	HSB178.S1C	1
HSB178.STC	HSB178.STC	1
HSB178.STR	HSB178.STR	1
HSB178.V1C	HSB178.V1C	1
HSB178.VFC	HSB178.VFC	1
HSB194.A1C	HSB194.A1C	1
HSB194.AMY	HSB194.AMY	1
HSB194.CBC	HSB194.CBC	1
HSB194.DFC	HSB194.DFC	1
HSB194.HIP	HSB194.HIP	1
HSB194.IPC	HSB194.IPC	1
HSB194.ITC	HSB194.ITC	1
HSB194.M1C	HSB194.M1C	1
HSB194.MD	HSB194.MD	1
HSB194.MFC	HSB194.MFC	1
HSB194.OFC	HSB194.OFC	1
HSB194.S1C	HSB194.S1C	1
HSB194.STC	HSB194.STC	1
HSB194.STR	HSB194.STR	1
HSB194.V1C	HSB194.V1C	1
HSB194.VFC	HSB194.VFC	1
HSB92.AMY	HSB92.AMY	2
HSB92.CBC	HSB92.CBC	2
HSB92.DFC	HSB92.DFC	2
HSB92.HIP	HSB92.HIP	2
HSB92.IPC	HSB92.IPC	2
HSB92.ITC	HSB92.ITC	2
HSB92.M1C	HSB92.M1C	2
HSB92.MD	HSB92.MD	2
HSB92.MFC	HSB92.MFC	2
HSB92.OFC	HSB92.OFC	2
HSB92.S1C	HSB92.S1C	2
HSB92.STC	HSB92.STC	2
HSB92.STR	HSB92.STR	2
HSB92.V1C	HSB92.V1C	2
HSB92.VFC	HSB92.VFC	2
HSB96.A1C	HSB96.A1C	1
HSB96.DFC	HSB96.DFC	1
